id_type_of_hotel,name
1,"Khu nghỉ dưỡng (Resort)"
2,"Biệt thự (Villa)"
3,"Khách sạn (Hotel)"
4,"Căn hộ (Apartment)"
5,"Du thuyền (Cruise)"
6,"Nhà nghỉ (Guest house, Homestay, ...)"
